job_title,company_name,location,job_description,url
QA Test Engineer,PrimeWorks,USA,"You will be working for a US-based technology company leading the development of an Ecommerce platforms that supports independent retailers in North America as they adopt and embrace new components of their digital marketing solutions. We build and maintain thousands of retailer websites that must run reliably, efficiently, and effectively. This lead position is responsible for leading the development team in implementing new functionality and coding updates to both new and existing systems. In this position, you will primarily be working with Node/Postgres on the backend and Next/React on the frontend, but working knowledge of similar and related technologies is important. The role will work on an amazing team of engineers to continue building out products to meet our retailers digital needs. We only want the best and if you are looking to work with a fast growing and stable American company then this position is for you. Responsibilities: Manage testing for a complex feature set within a core team, and through cooperation with other teams Provide manual testing assistance as required Create test plans Coordinate with other test engineers to confirm necessary coverage across the organization Responds to production issues and help release hot-fixes for such issues Recommend and enact process changes or infrastructure improvements to address common causes of test failures Provides input on functional design Manage nearshore and offshore testing as necessary QA test automation experience Knowledge of GIT basics Experience working in an Agile environment Strong debugging skills and attention to detail Ability to effectively collaborate with other software engineers within the team Solid verbal and written communication skills Bonus: Experience working with major DevOps platforms and pipeline automations such as Github, GitLab, Azure DevOps, Bitbucket, etc. PLEASE SUBMIT YOUR RESUMES IN ENGLISH",https://remotive.com/remote-jobs/qa/qa-test-engineer-2059648
"Senior Product Manager, Platform",ServiceUp,USA,"About the Role: ServiceUp is seeking a Senior Product Manager, Platform to lead the strategy, development, and growth of our platform and integrations. This role is a strategic leader responsible for both consuming APIs from our partners to enrich our platform and exposing our proprietary data via APIs to enable a thriving partner ecosystem. The ideal candidate will bridge the gap between technical teams and business stakeholders, ensuring our platform provides a reliable, scalable, and secure foundation for innovation and business growth. What You'll Do: Define Product Vision and Strategy: Define and own the product vision and roadmap for ServiceUp's API platform, ensuring it aligns with the company's long-term business objectives and strategic initiatives. Manage Inbound Integrations: Work with external partners and vendors to understand their API offerings, prioritize integration opportunities, and oversee the development lifecycle of consuming their APIs to enrich ServiceUp's platform. Manage Outbound Integrations: Lead the design, development, and management of ServiceUp's APIs, ensuring they are robust, scalable, and well-documented to attract and empower external developers and partners. Cross-functional Collaboration: Serve as the primary point of contact for API-related matters, working closely with engineering, design, marketing, sales, and operations teams to launch cross-functional initiatives and gather requirements. Ecosystem & Partner Management: Cultivate and grow a thriving partner ecosystem. This includes defining features that accelerate partner onboarding, ensuring seamless developer experiences, and acting as a technical liaison for API-related inquiries. What You'll Bring: A bachelor's degree in a relevant technical field or equivalent practical experience. 5+ years of experience in product management or a related technical role, with a minimum of 3 years focused on APIs, platforms, or partner ecosystems. A proven track record of delivering complex products in an agile environment and managing a product from conception to launch. Strong analytical skills and the ability to translate technical concepts into clear business value for both technical and non-technical stakeholders. Deep understanding of API architecture, SaaS platforms, and partner integration workflows. Exceptional collaboration and communication skills, with the ability to build trust and alignment across diverse teams. Preferred qualifications: Experience in a high-growth, entrepreneurial environment. A background in developer tools or coding. Experience with major API management platforms like MuleSoft, Apigee, or Postman. Why You’ll Love Working Here: We live our values every day: Team First, Work Smart, Own It, Be Bold, Push Boundaries . If that sounds like you, you’ll fit right in What We Offer: Competitive pay with equity Medical, dental, and vision coverage Flexible PTO and company holidays Remote-friendly setup with home office support Learning and development budget Wellness stipend to support your health and well-being Paid parental leave Benefits may vary by location and role. If you’re motivated by impact and aligned with our values, we want to hear from you. You don’t need to meet every single requirement — we care about your skills, drive, and how you work with a team. Service Up is an equal opportunity employer committed to a diverse, inclusive workplace where everyone can do their best work.",https://remotive.com/remote-jobs/product/senior-product-manager-platform-2060788
Business Development Associate,Forbes Advisor,USA,"Company Description At Forbes Advisor, our mission is to help readers turn their aspirations into reality. We arm people with trusted advice and guidance so they can make informed decisions they feel confident in and get back to doing the things they care about most. We are an experienced team of industry experts dedicated to helping readers make smart decisions and choose the right products with ease. Forbes Advisor boasts decades of experience across dozens of geographies and teams, including Content, SEO, Business Intelligence, Finance, HR, Marketing, Production, Technology and Sales. The team brings rich industry knowledge to Forbes Advisor's global coverage of consumer credit, debt, health, home improvement, banking, investing, credit cards, small business, education, insurance, loans, real estate and travel. Job Description Forbes Advisor is seeking a Business Development Associate who thrives in a collaborative, goal-oriented environment. Reporting to the Director of Business Development, this individual will support the Home Improvement vertical and assist broader commercial teams in identifying, executing, and optimizing growth opportunities across the portfolio. Responsibilities: Support the Director of Business Development in achieving revenue and growth targets Serve as the primary point of contact for all post-sale client requests Collaborate with the sales team to develop tailored media plans and proposals Manage the collection of creative assets, tracking, and ad verification from clients and agency contacts Oversee order creation and management Process insertion orders and ensure compliance with requirements Coordinate with internal teams to project manage all elements required for campaign execution Partner with internal teams on billing reconciliation Assist the sales team in upselling and renewing business Requirements: 2+ years of proven sales experience, preferably in home improvement services Exceptional communication and organizational skills Ability to manage stress well, and juggle multiple account challenges at once. Fluent in Microsoft Word, Excel and PowerPoint Benefits: Competitive compensation package Ability to work remotely Unlimited PTO Every third Friday of the month off Winter break closure; the week between Christmas and New Years Home office setup Wellness reimbursement Qualifications Additional Information Forbes Advisor provides equal employment opportunities to all employees and applicants for employment and prohibits discrimination and harassment of any type without regard to race, color, religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual orientation, gender identity or expression, or any other characteristic protected by federal, state or local laws. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training. #LI-REMOTE #LI-NM1",https://remotive.com/remote-jobs/sales-business/business-development-associate-2061082
Graphic Designer,DMS International,USA,"Data Management Services, Inc. (dba: DMS International) is a professional services firm headquartered in Silver Spring, Maryland, with work locations throughout the continental United States. We prepare managers and executives to lead their workforce through customized learning solutions that drive the standards of an ever-changing world. We build creative, unique and engaging learning experiences for commercial, civilian and defense organizations. Our high-caliber talent, delivery methodology and innovative solutions contribute to preparing a workforce that is ready for the future. You can join us on this journey to bring efficiency and creativity to our customers. At DMS International (DMS), we are the catalyst for effective workforce transformation. To achieve this, we hire professionals who take pride in doing quality work and who are excited about contributing to the professional development of tomorrow's leaders. DMS seeks candidates that possess and display the attributes that reflect our Core Values of: Quality in delivering solutions, Leadership, Innovation, Teamwork, Integrity in conduct, Responsiveness to our customer's mission DMS International is an Equal Opportunity Employer. We make employment decisions without regard to race, color, religion, national origin, gender, sexual orientation, gender identity, age, physical or mental disability, pregnancy, childbirth, lactation and related medical conditions, genetic factors, military/veteran status, or other characteristics protected by law. We encourage individuals from all backgrounds to apply. Job Description DMS International is seeking a Graphic Designer to support visual communications efforts for a federal client in an upcoming contract opportunity. The Graphic Designer will develop engaging and accessible visuals for use across print and digital platforms while ensuring alignment with brand guidelines and communication objectives. The ideal candidate is creative, detail-oriented, and able to manage multiple design projects simultaneously. Key Responsibilities: Design graphics for a variety of media formats, including brochures, posters, reports, social media, websites, and presentations Apply branding and style guides consistently across all visual products Collaborate with communications teams and other stakeholders to understand project requirements and ensure alignment with strategic goals Develop creative concepts and visuals that support communication strategies and campaign messaging Create engaging infographics, illustrations, and layouts to effectively present data and narratives Revise and refine designs based on feedback and ensure high-quality final deliverables Manage multiple projects and deadlines, ensuring timely delivery of all graphic assets Stay current with design trends, tools, and technologies to continuously improve design output Qualifications Bachelor's degree in Graphic Design, Business, Communications, Media, or a related field Minimum of 5 years of relevant experience, or 2 years with a Master's degree or higher in a related field Proficiency with Adobe Creative Suite (Illustrator, Photoshop, InDesign, etc.) and other industry-standard design tools Strong portfolio demonstrating design for both print and digital platforms Ability to communicate design concepts clearly and receive constructive feedback Strong time management, organization, and attention to detail U.S. Citizenship required Ability to obtain and maintain a Public Trust clearance Classification: TBD Location Remote",https://remotive.com/remote-jobs/design/graphic-designer-2060395
Client Success Manager,"Momentive Software, Inc.",USA,"This description is a summary of our understanding of the job description. Click on 'Apply' button to find out more. Role Description The Client Success Manager (CSM) is the primary relationship owner and account contact for an assigned subset of YourMembership clients. A CSM is responsible for establishing and maintaining a healthy relationship between YourMembership and assigned clients. Healthy relationships result in: Adoption: clients’ successful use of YourMembership to meet their organizational needs Retention: on-time subscription renewal with appropriate price increase Account expansion: adding YourMembership features and services + adding other Momentive Software products This is accomplished through: Discovering and understanding clients’ needs Creatively generating solutions for those needs through YourMembership and other Momentive products and services Skillfully communicating via videoconference, phone, and email Negotiating contract details to win deals DUTIES & RESPONSIBILITIES: Contribute to a positive team culture centered on serving clients Own and foster the relationship between YourMembership and assigned clients, serving as the primary account contact and escalation path Drive client retention (renewal) through proactive and responsive communication, creation and communication of solutions, and explanation and negotiation of contracts Drive client expansion through identification of needs, creation and communication of solutions, and explanation and negotiation of contracts Drive client satisfaction and success through proactive outreach, utilization and account reviews, and responding to client challenges, complaints, and survey responses Maintain accurately the status of each client's renewal opportunities, expansion opportunities, and overall health and sentiment using Salesforce and established processes Gather feedback from clients about their experience with YourMembership’s product, support, and services, and share that feedback with relevant team to contribute to improvement of the experience for all clients Complete continuous learning and maintain an expert-level knowledge of the product platform and industry best-practices Follow established processes for the client success team and provide input to improve those processes Collaborate with team members to meet other company objectives Qualifications At least 5 years of experience in areas related to Momentive’s business: client success, account management, sales, or services, especially in a SaaS context OR at least 5 years of experience in areas related to Momentive’s client base: associations, membership organizations, nonprofit organizations, especially in management Requirements Expert knowledge of the YourMembership product platform, or ability to gain it through training Ability to use client relationship management software; experience using Salesforce is a plus Ability to use or learn Microsoft Office tools: Outlook, Teams, Excel, PowerPoint, Word Demonstrated teamwork skills and ability to influence peers and leaders in a positive way Excellent verbal and written communication, organization, and follow up skills, including comfortability communicating with executives and other decision-makers Excellent judgement in decision-making, especially when balancing the needs of clients, team members, the company, and other stakeholders Proven ability to handle a high-volume of assigned clients, multiple tasks, and meet deadlines with minimal supervision Benefits Medical, Dental & Vision Benefits 401(k) Savings Plan & Company Match Flexible Planned Paid Time Off Generous Sick Leave Casual Environment Purpose-Driven Culture Work-Life Balance Passionate About Community Involvement Company Paid Parental Leave Company Paid Short Term Disability Remote Flexibility",https://remotive.com/remote-jobs/customer-support/client-success-manager-2060451
Ed-Tech Implementation Specialist,ClickView,USA,"Join a passionate US team at a worldwide leading educational video company Support our customers and enhance video learning experiences for schools Full-time permanent position, working remotely or in our Charleston office Why Join Us? Do you want to make a positive impact on the education of future generations? If the answer’s yes, then we want you here at ClickView. We believe in using the power of video to transform traditional education, allowing students and teachers to foster a creative and innovative educational environment, from wherever they are. At ClickView, we look for passionate professionals who are seeking a hands-on role in a dynamic organization. In turn, we invest in our staff to enhance overall team performance and achieve growth together. You can expect support and investment in your future career plus the day-to-day benefits of an open plan and vibrant work environment. Are you ready to take your first step with us? The role: We are looking for a talented Technical Support Specialist to help us continue to provide exceptional product and technical support to our customers across the US for both ClickView and Streamable Learning. We are looking for an individual who has a genuine love of customer service and technology and has a great attitude and work ethic to match. The ideal candidate will love following processes whilst using their initiative to solve problems, and maintain regular proactive contact with customers to build brand advocacy within the community. This role offers you the opportunity to lead the product support function in the US, whilst being supported by an enthusiastic and professional team globally. You'll be responsible for a wide variety of technical tasks which will allow you to showcase your technical and customer skills in a fast paced and innovative work environment. Your responsibilities include: Leading and supporting K-12 district partners through the setup, configuration, and successful implementation of Single Sign-On (SSO) platforms, including SAML-based integrations Serving as the primary point of contact for technical onboarding, ensuring smooth integration with district systems (SSO, SAML, LMS, etc.) and minimizing barriers to adoption Collaborating with district technology teams and instructional leaders to align implementations with instructional technology goals and classroom needs Troubleshooting and resolving technical setup issues with a customer-first mindset, while escalating complex cases appropriately and working with global teams Documenting all actions and information on cases, maintaining an accurate database of interactions and next steps with customers Running daily live zoom programs for customers, providing technical support and post-program support to our customers through editing video recordings and uploading to our platform Data management (e.g. daily program registration management and attendance data), data entry and managing the day-to-day of program updates and schedules Ad hoc tasks such as supporting with landing pages and making modifications to our programs as required Nice to have skills: Experience onboarding and implementing Single Sign-On services (Clever, ClassLink, SAML) Experience of working with and technically supporting SaaS products K–12 instructional technology experience, with a strong understanding of how digital tools and platforms are adopted and used by teachers, librarians, and district technology teams Experience working with Salesforce CRM Benefits: Paid leave - 20 days paid annual leave, paid sick leave and extra paid Wellbeing and Volunteering leave 🚴 401k match and Platinum health insurance - (80% coverage) with vision and dental included 💰 Flexible working - to accommodate hours and arrangements and ability to work remotely from a different location for up to 100 calendar days per year 🏠 Generous parental leave policy - offering 16 week’s full pay 🚼 Learning and Development budgets - access to LinkedIn Learning, along with professional opportunities made available to all our teams, so you can continue growing to be the best you 🥇 Wellbeing Policy - with access to EAP and wellbeing apps, we put your mental health and wellbeing at the forefront of what we do 💆‍♂️ About the company Our purpose ClickView makes video learning easy. We know that each student learns differently. We believe that video is the perfect way to engage with any student, despite differences in learning styles. At ClickView our goal is to give teachers the best opportunity to create a rich learning experience through video education for students. From the videos we produce right here in Australia, the flipped classroom videos created by our community, to the free to air TV programs we curate, ClickView is revolutionising how video can be utilised to increase student engagement and boost student outcomes. Our culture Founded in 2003, we an Australian owned company and have over 80 employees worldwide with offices in Australia and the UK. We are a group of young, enthusiastic and passionate professionals who work hard and are empowered by the technology we use and the products we build. We are looking for more like-minded people who, like us, are motivated by their love of technology and whose unique personality can contribute to the team and the company in general.",https://remotive.com/remote-jobs/customer-support/ed-tech-implementation-specialist-2060449
Frontend Developer,Weekday AI,India,"This role is for one of Weekday’s clients Salary range: Rs 1500000 - Rs 3000000 (ie INR 15-30 LPA) Min Experience: 3 years Location: Remote (India) JobType: full-time Requirements Key Responsibilities Design and implement responsive, pixel-perfect web pages and components using React Translate product and marketing requirements into engaging landing pages and product UI flows. Work closely with backend developers to integrate APIs and ensure seamless user experiences. Define and maintain a design system / component library for consistency. Prototype and test new UX patterns for FileSpin’s services (dashboards, workflows, content management). Optimize performance and accessibility across browsers and devices. Requirements 3–6+ years experience in frontend development (React, TypeScript, modern CSS frameworks like Tailwind/Chakra). Strong portfolio demonstrating design/UI skills — ability to take a concept and create polished, user-friendly interfaces. Experience building landing pages and marketing sites (with A/B testing, SEO basics, analytics integration). Solid understanding of UX principles, responsive design, accessibility (WCAG). Familiarity with design tools (Figma, Sketch, Adobe XD, etc.). Ability to collaborate with backend engineers, marketers, and founders in a fast-moving startup. Nice to Have Experience with Next.js, animations (Framer Motion, GSAP). Understanding of SaaS product design and developer-first UX. Knowledge of CDN, media processing, or DAM platforms. About the company At Weekday (backed by YC; also Product Hunt #1 product of the day), we are building the next frontier in hiring. We have built the largest database of white collar talent in India and have built outreach tools on top of it to generate highest response rates.",https://remotive.com/remote-jobs/software-dev/frontend-developer-2060133
AI Image Generation Specialist,INDG,Netherlands,"We are seeking a highly creative and technically adept AI Image Generation Specialist to join our team! In this role, you will harness the power of various generative AI technologies to create visually excellent and unique content. Your expertise will be key in creating and configuring AI templates and reusable elements, primarily using ComfyUI and ControlNet, to produce highly controlled and precise visual outputs. This role offers a unique opportunity to combine your passion for generative AI technologies with your talent for creating visually stunning content. You will be working with a team dedicated to pushing the boundaries of what is possible, in creating template-based content generation for the largest CPG brands in the world. If you are looking to make a significant impact through AI-driven creativity, we invite you to join us in shaping the future of visual content. What’s Grip? As INDG's software branch, Grip is an end-to-end content automation platform that generates infinite ad variations by combining CGI, rule-based generative AI, and post-production into an easy-to-use automated content generation platform that transforms master ad creatives into endless variations—empowering brands to scale content production globally without compromising on quality or brand consistency. Grip works by taking master content supplied by brands or their agencies and converting it into a deeply modular configurator. This allows marketers to create their own visual adaptations and variations effortlessly, saving millions in production costs while maintaining brand consistency. What will you be doing? AI-Powered Content Generation: Utilize a wide range of generative AI models and technologies, including StableDiffusion, Dall-E, Midjourney, ComfyUI, ControlNet, Flux and many more, to create compelling visual content, which will be leveraged as part of templates in our software product Grip. Content Enhancement: Enhance existing assets by applying generative AI techniques to improve visual quality, or create adaptability for use in templates. Quality Assurance: Maintain a keen eye for visual quality, ensuring that all generated content meets or exceeds our standards for aesthetics. Cross-Functional Collaboration: Collaborate closely with the in-house content template making team to integrate generative AI-generated content seamlessly into various projects and campaigns. AI Research and Stay Current: Stay updated on the latest developments in generative AI technologies and incorporate emerging techniques into your workflow to maintain a competitive edge. Creative Problem Solving: Tackle unique creative challenges by leveraging generative AI solutions, and actively seek new opportunities to enhance content through automation. Would be amazing if you have: Proficiency in popular AI frameworks, particularly ComfyUI and ControlNet. Exceptional visual sensibility and a portfolio showcasing your ability to create visually striking content. Strong problem-solving skills and a creative mindset. Ability to adapt to evolving AI technologies and stay at the forefront of the field. Fluency in English. Working at Grip At Grip, we believe whatever you give your full attention becomes worthwhile. We choose to focus our attention on developing and utilizing technology to create beautiful images and videos. Because we’re doing something we care about, working here isn’t merely a means to an end; it’s our life. Our team comprises learners and doers from over 50 countries, representing a wide range of backgrounds, identities, experiences, and perspectives. We don’t just allow remote work; we fully embrace it. We’re committed to excellence, and we’re always looking for more people who want to focus their care and attention on making beauty scalable through technology. The procedure If you’re ready to bring your powers to a role where you can make a difference, we want to hear from you. Send your resume and portfolio in English via the link provided. If you have questions, contact our Recruitment Department at jobs@indg.com . INDG Grip handles and uses personal data of job applicants in line with its Recruitment Privacy Policy .",https://remotive.com/remote-jobs/software-dev/ai-image-generation-specialist-2060200
Applied AI Operations Lead,Canvas Medical,USA,"Company Overview Canvas Medical is accelerating everyday medicine with an EMR platform built for healthcare automation. We create modern, elegant front- and back-end tooling to enable new ways for developers and clinicians to integrate data, automate workflows, and collaborate to solve healthcare's toughest challenges. In doing so we advance our mission to give care teams superpowers with software. Canvas is institutionally backed by some of the greatest technology investors in the world (funded notable health tech companies such as GoodRx, Oscar Health, and Hims & Hers Health). The Role We're hiring an Applied AI Operations Lead to join our GTM Operations team and drive successful deployment, adoption, and governance of AI agents across our customer base. This role serves as the critical bridge between our Applied AI engineering team and the healthcare organizations implementing Canvas's state-of-the-art AI capabilities to transform their clinical and operational workflows. You'll be the hands-on expert who partners directly with customers to deploy and manage AI agents built with foundation model APIs and our server-side SDK, ensuring they deliver measurable value in real-world healthcare settings. This means working closely with clinical, operational, and financial stakeholders to understand their unique workflows, configure agents for optimal performance, and operate robust governance frameworks that build trust in AI-powered automation. This role is ideal for someone who combines technical depth in LLM-based systems with exceptional customer-facing skills and a passion for healthcare transformation. You'll translate complex AI capabilities into compelling value stories, guide customers through change management, and create repeatable playbooks that accelerate AI adoption across the Canvas customer base. Your work will directly impact how thousands of care teams leverage AI to deliver better patient outcomes while reducing administrative burden. You'll collaborate with our Applied AI engineering team to inform product development based on field insights, work with customer success to ensure smooth implementations, and partner with technical marketing to showcase the transformative impact of AI agents in Canvas. As AI becomes central to healthcare delivery, you'll be at the forefront of this revolution, helping our customers realize the full potential of healthcare automation. What You'll Do Customer Deployment & Implementation - Partner directly with healthcare organizations to deploy and configure AI agents for clinical documentation, scheduling, billing, communications, and workflow automation - Conduct workflow assessments to identify high-impact automation opportunities and design agent implementations that deliver measurable ROI - Configure and optimize agent performance using prompt engineering, context management, and tool selection based on specific customer requirements - Create and maintain customer-specific evaluation frameworks that demonstrate agent effectiveness and build stakeholder confidence Governance & Trust Building - Maintain AI governance frameworks that ensure safe, reliable agent operations in production healthcare environments - Design and implement monitoring systems for agent performance, including accuracy tracking, drift detection, and quality assurance protocols - Partner with clinical and compliance teams to ensure deployed agents meet regulatory requirements and operational standards - Develop and deliver training programs that enable care teams to effectively collaborate with AI agents Technical Excellence & Innovation - Work hands-on with foundation model APIs (OpenAI, Claude, Gemini) and the Canvas SDK to troubleshoot and optimize agent behavior - Collaborate with Applied AI engineering to translate field insights into product improvements and new capabilitiesBuild and maintain a library of best practices, implementation templates, and governance playbooks that accelerate customer success - Stay current with advances in LLM technology and healthcare AI applications to guide strategic customer conversations Strategic Customer Partnership - Serve as the trusted AI advisor for Canvas customers, helping them navigate the transformation to AI-powered healthcare operations - Drive executive conversations about AI strategy, demonstrating how Canvas's platform capabilities enable competitive advantage - Create compelling narratives around AI impact using customer success stories, performance metrics, and ROI analyses - Partner with sales teams on strategic opportunities, providing technical expertise and vision for AI transformation Qualifications Required Experience & Background - 5+ years in technical customer-facing roles (solutions engineering, technical consulting, customer success engineering) - Demonstrated experience deploying and managing LLM-based applications in production environments - Track record of driving successful enterprise technology implementations with measurable business outcomes - Strong project management skills with ability to juggle multiple customer engagements simultaneously AI & Technical Expertise - Hands-on experience with products offered from foundation model providers (OpenAI, Anthropic, Google) and AI tools for low-code automation, with understanding of their capabilities and limitations - Understanding of AI safety, alignment, and governance principles - Experience with evaluation frameworks, A/B testing, and performance monitoring for AI systems - Learned experience with the edges and limitations of AI products, and understanding of the iterative process required to get high quality results Healthcare & Domain Knowledge - Healthcare technology experience required, with ability to give workflow advice and construct automations that meet the needs of healthcare users - Understanding of clinical workflows, EMR systems, and healthcare operations a plus - Familiarity with HIPAA, clinical documentation standards, and healthcare compliance considerations - Ability to quickly develop domain expertise and speak credibly with clinical stakeholders Skills & Capabilities - Comfort with ambiguity and ability to define structure in undefined spaces - Exceptional written and verbal communication skills with ability to create compelling technical content - Strong analytical and problem-solving abilities with data-driven approach to decision making - Experience creating and delivering technical training to diverse audiences Who You Are You're energized by ambiguity and thrive in fast-paced environments where you can experiment, iterate, and scale what works You have 5+ years of experience implementing workflow tools and automation solutions in enterprise settings, with 2+ years of hands-on experience with LLM-based systems You're deeply familiar with foundation model capabilities and have practical experience with context engineering and adversarial testing You excel at translating technical complexity into business value, comfortable presenting to both technical teams and C-suite executives You bring a consultative approach to customer engagement, able to diagnose problems, design solutions, and drive change management You have experience in healthcare technology or a strong willingness to rapidly develop domain expertise in clinical and operational workflows You combine technical depth with exceptional communication skills, able to create documentation, deliver training, and influence stakeholders What Success Looks Like at 90 Days You've successfully deployed AI agents with at least 3 Canvas customers, demonstrating measurable improvements in efficiency and user satisfaction You've made significant contributions, based on your field insights, to the  best practices playbook for AI agent deployment and monitoring You've created compelling case studies and ROI analyses that accelerate sales cycles and customer adoption Location San Francisco preferred. We are a mostly remote, distributed team. We encourage people to do their work when and where they perform at their best. Because of this structure, strong written communication skills, time management skills, and personal accountability are very important to us. Canvas Medical provides equal employment opportunities to all employees and applicants for employment without regard to race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.",https://remotive.com/remote-jobs/software-dev/applied-ai-operations-lead-2060201
Content Writer & PR Strategist,Uvation,India,"Role Overview: As a Content Writer & PR Strategist, you will be instrumental in crafting and publishing high-impact content while managing our public relations activities. Your expertise in writing engaging content, combined with a strategic approach to PR and SEM, will drive our brand's visibility and credibility. Key Responsibilities: Content Creation and Publishing: Write, edit, and publish high-quality content including articles, blog posts, case studies, white papers, and other written materials. Develop and maintain a content calendar that aligns with marketing and PR goals. Research and generate content ideas that resonate with target audiences and reflect industry trends. Ensure all content is accurate, compelling, and adheres to SEO best practices to enhance online visibility and engagement. Utilize content management systems (CMS) such as WordPress, Magento, or similar platforms to publish and manage content on the company's website and other platforms. Optimize content for readability and user experience using HTML/CSS and other web development tools as needed. Blog Writing and Management: Create engaging and informative blog posts that drive traffic and establish thought leadership. Monitor blog performance using analytics tools like Google Analytics, SEMrush, or similar platforms to track metrics such as readership, engagement, and conversion rates. Engage with readers through comments and social media to foster a community around the blog. Collaborate with designers and multimedia experts to enhance blog content with visuals, infographics, and other multimedia elements. Public Relations Strategy: Develop and execute strategic PR plans to enhance the company's brand image and reputation. Craft press releases, media pitches, and PR materials that effectively communicate company news, events, and achievements. Build and maintain relationships with journalists, media outlets, and influencers to secure coverage and promote positive press. Monitor media coverage and industry trends to identify and address potential PR opportunities and challenges. Campaign and Content Strategy: Plan and implement integrated content and PR campaigns to support marketing objectives and business goals. Coordinate with marketing and product teams to ensure content and PR initiatives are aligned with brand messaging and overall strategy. Track and analyze the performance of content and PR campaigns using data analytics tools to refine strategies and improve outcomes. Implement SEM strategies to drive targeted traffic and optimize ROI on paid search campaigns. Brand Messaging and Consistency: Maintain a consistent brand voice and messaging across all content and PR materials. Collaborate with internal teams to develop key messaging for various campaigns and initiatives. Crisis Communication: Assist in developing crisis communication strategies and materials to address any issues impacting the company's reputation. Manage sensitive communications with professionalism and tact. Technical Expertise: Proficiency in SEO tools such as Moz, Ahrefs, or Google Search Console for keyword research, site audits, and performance tracking. Familiarity with SEM tools including Google Ads, Bing Ads, and programmatic ad platforms for managing paid search and display advertising campaigns. Basic understanding of HTML/CSS for content formatting and troubleshooting. Knowledge of CMS platforms (e.g., WordPress, Magento) and experience with website analytics tools (e.g., Google Analytics, SEMrush). Qualifications: Proven 3+ Years of Experience in content writing and PR strategy, with a strong portfolio of published work. Excellent writing, editing, and proofreading skills with a keen eye for detail. Demonstrated ability to create engaging content and execute effective PR campaigns. Strong analytical skills and experience with data-driven decision making. Ability to manage multiple projects and meet deadlines in a fast-paced environment. Bachelor's degree in Marketing, Communications, Journalism, or a related field is preferred.",https://remotive.com/remote-jobs/writing/content-writer-pr-strategist-2060375
